,銘柄コード,会社名,時価総額,PER(会予),PBR,配当利回り(会予),売上高,売上総利益率,営業CF/売上比率,販管費/売上比率,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,有利子負債/総資産,有利子負債/時価総額,純有利子負債/時価総額,DEレシオ,流動比率,総資産,現金及び預金,売上債権,売上債権回転数,棚卸資産,棚卸資産回転数,有形固定資産,固定負債,有利子負債,純有利子負債,純資産,自己資本,フリーCF,研究開発/売上比率,固定ネットキャッシュ,固定ネットキャッシュ比率,ネットキャッシュ,ネットキャッシュ比率,有形固定資産/総資産,固定負債/総資産
58,9020,東本旅客鉄道,3683467,16.2,1.3,1.9,2887553.0,35.7,25.4,22.7,376786.0,13.0,224285.0,7.8,7.8,28.1,45.7,126.2,119.9,1.6,71.8,10174224.0,233663.0,,,68596.0,13.5,7792162.0,5560017.0,4648645.0,4414972.0,2872216.0,2859544.0,38682,,-5326354.0,-52.35145206160195,-4414982.0,-43.39379592979278,76.58728567407205,54.648069474389395
59,9613,NTTデータG,4155083,30.3,2.3,0.8,4367387.0,27.4,11.4,20.3,309551.0,7.1,133869.0,3.1,7.3,23.4,55.8,104.7,89.5,2.4,93.8,7798199.0,542016.0,1422258.0,118.9,72372.0,8.3,2096826.0,1907428.0,4349982.0,3716730.0,2908195.0,1827895.0,155684,0.5,-1365412.0,-17.50932490950795,-3807966.0,-48.83135195703521,26.88859312259151,24.459852845509587
60,2502,アサヒGHD,2993681,16.9,1.1,2.6,2939422.0,37.3,13.7,27.6,269052.0,9.2,192080.0,6.5,7.2,49.4,23.7,42.7,39.4,0.5,56.8,5403405.0,83961.0,440335.0,54.7,271430.0,53.8,935441.0,1219044.0,1279176.0,1178136.0,2674051.0,2668801.0,267466,0.6,-1135083.0,-21.006809595060894,-1195215.0,-22.119663434445503,17.31206526255204,22.56066313741058
61,2802,味の素,2993049,40.0,3.7,0.0,1439231.0,35.5,11.7,,146682.0,10.2,87121.0,6.1,10.7,43.7,12.0,7.5,0.8,0.3,193.2,1856229.0,229374.0,195580.0,49.6,311552.0,122.6,595546.0,570700.0,223324.0,24648.0,880163.0,811413.0,96052,2.0,-341326.0,-18.38814068738286,6050.0,0.325929613210439,32.08364916182217,30.745128968462403
62,4307,野村総合研究所,3142015,30.2,7.2,1.3,764813.0,36.0,17.0,18.8,134907.0,17.6,93762.0,12.3,21.6,46.7,51.7,15.3,9.4,1.1,175.1,928501.0,168597.0,158295.0,75.5,,,38032.0,251059.0,479677.0,295458.0,437959.0,434041.0,80594,,-82462.0,-8.881196681532924,-311080.0,-33.5034641858221,4.096064516893358,27.039173894266135
63,4452,花王,2804093,24.2,2.6,2.6,1628448.0,39.2,12.4,30.6,146644.0,9.0,107767.0,6.6,10.1,57.1,13.1,8.7,4.4,0.2,179.4,1867237.0,357713.0,238077.0,53.4,274628.0,101.2,423251.0,258802.0,245328.0,122910.0,1098835.0,1066776.0,134109,3.8,98911.0,5.297185092197723,112385.0,6.018786045906331,22.667235064429423,13.860158083842597
64,4503,アステラス製薬,2610271,20.1,1.7,5.3,1912323.0,81.7,10.2,44.1,41039.0,2.1,50747.0,2.7,3.4,45.3,41.8,53.5,45.1,0.9,113.2,3339544.0,188372.0,632525.0,120.7,297261.0,310.7,328921.0,764679.0,1396319.0,1178006.0,1513255.0,1513255.0,137182,,-576307.0,-17.257056652045907,-1207947.0,-36.17101616268568,9.84927882369569,22.897706992331887
65,4612,本ペイントHD,2587127,16.0,1.6,0.0,1638720.0,40.1,10.2,29.4,187647.0,11.5,127337.0,7.8,8.0,51.8,24.7,29.4,12.3,0.5,181.3,3071378.0,288301.0,376976.0,84.0,202484.0,75.3,478759.0,879078.0,760013.0,318128.0,1610227.0,1590983.0,115648,2.0,-590777.0,-19.23491670514017,-471712.0,-15.35831799277067,15.587758979845528,28.621615444272898
66,5401,本製鉄,3130372,10.1,0.6,5.3,8868097.0,15.6,11.4,8.2,778662.0,8.8,549372.0,6.2,10.5,47.7,25.3,89.1,64.3,0.5,193.1,11024351.0,736108.0,1644969.0,67.7,2270861.0,110.8,3509546.0,2647957.0,2790665.0,2012664.0,5848630.0,5255338.0,543814,0.8,-1911849.0,-17.34205487470419,-2054557.0,-18.636534703947653,31.834490755963774,24.01916448414968
68,6273,SMC,2997267,19.8,1.5,2.1,776873.0,46.7,12.6,21.5,196226.0,25.3,178321.0,23.0,9.2,91.6,0.2,0.2,19.8,0.0,993.6,2124567.0,566636.0,206308.0,96.9,517415.0,456.4,473258.0,41777.0,5043.0,592831.0,1945898.0,1945842.0,6101,4.0,524859.0,24.704280919359096,561593.0,26.433292054333897,22.27550366733551,1.9663771488496244
69,6594,ニデック,3001607,15.0,1.7,1.6,2607094.0,20.6,10.9,8.3,240200.0,9.2,167688.0,6.4,9.8,51.7,14.2,15.7,7.5,0.3,152.8,3325561.0,246239.0,706175.0,98.9,557880.0,98.4,931059.0,514275.0,472197.0,224672.0,1745569.0,1719296.0,135599,,-268036.0,-8.059873206355258,-225958.0,-6.7945829290155855,27.997050723171217,15.464308127260331
71,6762,TDK,2935641,19.3,1.6,1.9,2204806.0,31.2,20.2,22.4,224192.0,10.2,167161.0,7.6,9.3,50.8,26.9,32.5,6.1,0.5,167.2,3541415.0,697307.0,583133.0,96.5,410038.0,98.7,1030122.0,631701.0,954401.0,179790.0,1811254.0,1800070.0,445839,,65606.0,1.8525363449355694,-257094.0,-7.259640567400319,29.087864596496033,17.837531043382377
73,7532,パン･パシフィック･インターナショナルHD,2658134,29.5,4.6,0.8,2095077.0,31.6,7.2,24.9,140193.0,6.7,88701.0,4.2,15.5,36.6,31.1,18.3,10.7,0.8,121.5,1564179.0,202948.0,21338.0,3.7,229454.0,58.5,729089.0,495029.0,486725.0,283777.0,584175.0,572945.0,55961,,-292081.0,-18.673118613662503,-283777.0,-18.142233082019384,46.61160902940137,31.64784848792881
74,7832,バンダイナムコHD,3298146,25.8,4.0,1.4,1050210.0,35.3,8.5,26.7,90682.0,8.6,101493.0,9.7,12.3,73.2,0.0,0.0,12.0,,276.4,1127592.0,395363.0,,,137209.0,73.7,133217.0,30267.0,0.0,395363.0,825391.0,824911.0,53997,3.1,365096.0,32.378377994877575,395363.0,35.062593562210445,11.814290984682403,2.684215567332865
